"angle","temp","azimuth","humidity","species","sex"
0.17453,17.2,115,65,"salt","F"
0.2618,17.2,115,65,"ND","J"
2.35619,17.2,115,65,"salt","M"
4.10152,17.2,115,65,"salt","F"
4.27606,17.2,115,65,"salt","F"
4.71239,17.2,115,65,"salt","F"
4.88692,17.2,115,65,"salt","M"
4.88692,17.2,115,65,"salt","M"
4.97419,17.2,115,65,"salt","M"
4.97419,17.2,115,65,"salt","F"
4.97419,17.2,115,65,"salt","F"
5.06145,17.2,115,65,"salt","M"
5.06145,17.2,115,65,"salt","M"
5.06145,17.2,115,65,"salt","M"
5.06145,17.2,115,65,"salt","F"
5.06145,17.2,115,65,"salt","F"
5.14872,17.2,115,65,"salt","M"
5.14872,17.2,115,65,"salt","M"
5.14872,17.2,115,65,"salt","F"
5.23599,17.2,115,65,"salt","M"
5.32325,17.2,115,65,"salt","M"
5.32325,17.2,115,65,"salt","M"
5.32325,17.2,115,65,"salt","F"
5.41052,17.2,115,65,"salt","M"
5.41052,17.2,115,65,"salt","M"
5.41052,17.2,115,65,"salt","M"
5.41052,17.2,115,65,"ND","J"
5.41052,17.2,115,65,"ND","J"
5.41052,17.2,115,65,"ND","J"
5.49779,17.2,115,65,"salt","M"
5.49779,17.2,115,65,"salt","M"
5.49779,17.2,115,65,"salt","F"
5.49779,17.2,115,65,"salt","F"
5.49779,17.2,115,65,"ND","J"
5.49779,17.2,115,65,"ND","J"
5.49779,17.2,115,65,"ND","J"
5.58505,17.2,115,65,"salt","M"
5.58505,17.2,115,65,"salt","M"
5.58505,17.2,115,65,"salt","M"
5.58505,17.2,115,65,"salt","F"
5.58505,17.2,115,65,"ND","J"
5.58505,17.2,115,65,"ND","J"
5.67232,17.2,115,65,"salt","M"
5.67232,17.2,115,65,"salt","M"
5.67232,17.2,115,65,"salt","F"
5.67232,17.2,115,65,"salt","F"
5.67232,17.2,115,65,"salt","F"
5.67232,17.2,115,65,"ND","J"
5.75959,17.2,115,65,"salt","M"
5.75959,17.2,115,65,"salt","F"
5.84685,17.2,115,65,"salt","M"
5.84685,17.2,115,65,"salt","F"
5.84685,17.2,115,65,"salt","F"
5.84685,17.2,115,65,"salt","F"
5.93412,17.2,115,65,"salt","M"
6.02139,17.2,115,65,"salt","M"
6.02139,17.2,115,65,"salt","F"
6.02139,17.2,115,65,"salt","F"
6.02139,17.2,115,65,"salt","F"
6.02139,17.2,115,65,"salt","F"
6.02139,17.2,115,65,"salt","F"
6.02139,17.2,115,65,"brito","M"
6.10865,17.2,115,65,"ND","J"
6.19592,17.2,115,65,"salt","M"
0,17.2,115,65,"ND","J"
0.08727,17.2,115,65,"salt","F"
0.08727,17.2,115,65,"salt","F"
0.17453,17.2,115,65,"salt","F"
0.17453,17.2,115,65,"brito","M"
0.34907,17.2,115,65,"salt","F"
1.39626,17.2,115,65,"salt","F"
3.66519,17.2,115,65,"salt","M"
4.36332,17.2,115,65,"salt","F"
4.45059,17.2,115,65,"brito","F"
4.53786,17.2,115,65,"salt","M"
4.53786,17.2,115,65,"ND","J"
4.79966,17.2,115,65,"salt","M"
4.97419,17.2,115,65,"salt","M"
4.97419,17.2,115,65,"salt","M"
4.97419,17.2,115,65,"ND","J"
5.06145,17.2,115,65,"salt","M"
5.06145,17.2,115,65,"brito","M"
5.06145,17.2,115,65,"brito","F"
5.06145,17.2,115,65,"ND","J"
